,Artist,Rank,Song Title,Year
319,Carpenters,39,Top Of The World,1974
320,The Steve Miller Band,40,THE JOKER,1974
321,Gladys Knight And The Pips,41,I've Got To Use My Imagination,1974
322,Three Dog Night,42,The Show Must Go On,1974
323,Stevie Wonder,44,Living For The City,1974
324,Dionne Warwick And The Spinners,46,Then Came You,1974
325,Paper Lace,47,The Night Chicago Died,1974
326,Marvin Hamlisch,48,The Entertainer,1974
327,ABBA,49,Waterloo,1974
328,The Hollies,50,The Air That I Breathe,1974
329,Steely Dan,51,Rikki Don't Lose That Number,1974
330,Joni Mitchell,53,Help Me,1974
331,Anne Murray,54,You Won't See Me,1974
332,Helen Reddy,57,You And Me Against The World,1974
333,William DeVaughn,60,Be Thankful For What You Got,1974
334,Johnny Bristol,61,Hang On In There Baby,1974
335,Mocedades,62,Eres Tu (Touch The Wind),1974
336,Golden Earring,64,Radar Love,1974
337,Dave Loggins,65,Please Come To Boston,1974
338,Wet Willie,66,Keep On Smilin',1974
339,Bobby Womack,67,Lookin' For A Love,1974
340,The O'Jays,68,Put Your Hands Together,1974
341,Gladys Knight And The Pips,69,On And On,1974
342,Cat Stevens,70,Oh Very Young,1974
343,Helen Reddy,71,Leave Me Alone (ruby Red Dress),1974
344,Elton John,72,Goodbye Yellow Brick Road,1974
345,Ringo Starr,74,Oh My My,1974
346,The O'Jays,75,For The Love Of Money,1974
347,Eric Clapton,76,I Shot The Sheriff,1974
348,Paul McCartney And Wings,77,Jet,1974
349,Elton John,78,Don't Let The Sun Go Down On Me,1974
350,Mike Oldfield,79,Tubular Bells,1974
351,Anne Murray,80,Love Song,1974
352,Todd Rundgren,82,Hello It's Me,1974
353,Tom T. Hall,83,I Love,1974
354,The Guess Who,84,Clap For The Wolfman,1974
355,Jim Croce,85,I'll Have To Say I Love You In A Song,1974
356,Sister Janet Mead,86,The Lord's Prayer,1974
357,Lamont Dozier,87,Trying To Hold On To My Woman,1974
358,Charlie Rich,89,A Very Special Love Song,1974
359,Jim Stafford,90,My Girl Bill,1974
360,Paul McCartney And Wings,91,Helen Wheels,1974
361,Diana Ross And Marvin Gaye,92,My Mistake Was To Love You,1974
362,Jim Stafford,93,Wildwood Weed,1974
363,First Class,94,Beach Baby,1974
