,Artist,Rank,Song Title,Year
314,Air Supply,66,MAKING LOVE OUT OF NOTHING AT ALL,1983
315,Toto,69,I Won't Hold You Back,1983
316,Christopher Cross,70,All Right,1983
317,Bryan Adams,71,Straight From The Heart,1983
318,Kenny Loggins,72,Heart To Heart,1983
319,Lionel Richie,73,My Love,1983
320,Elton John,74,I'm Still Standing,1983
321,Loverboy,75,Hot Girls In Love,1983
322,Men At Work,76,It's A Mistake,1983
323,Culture Club,77,I'll Tumble 4 Ya,1983
324,Debarge,78,All This Love,1983
325,Sammy Hagar,79,Your Love Is Driving Me Crazy,1983
326,Dionne Warwick,80,Heartbreaker,1983
327,Journey,81,Faithfully,1983
328,Joe Jackson,82,Steppin' Out,1983
329,Quarterflash,83,Take Me To Heart,1983
330,Stray Cats,84,(she's) Sexy + 17,1983
331,Champaign,85,Try Again,1983
332,Shalamar,86,Dead Giveaway,1983
333,Jackson Browne,87,Lawyers In Love,1983
334,Moving Pictures,88,What About Me,1983
335,Michael Jackson,89,Human Nature,1983
336,Def Leppard,90,Photograph,1983
337,Musical Youth,91,Pass The Dutchie,1983
338,Spandau Ballet,92,True,1983
339,Frank Stallone,93,Far From Over,1983
340,Stephen Bishop,95,"It Might Be You (Theme From ""Tootsie"")",1983
341,Peabo Bryson & Roberta Flack,96,"Tonight, I Celebrate My Love",1983
342,Joe Jackson,99,Breaking Us In Two,1983
343,"Earth, Wind & Fire",100,Fall In Love With Me,1983
344,Prince,1,When Doves Cry,1984
345,Tina Turner,2,What's Love Got To Do With It,1984
346,Kenny Loggins,4,Footloose,1984
347,Phil Collins,5,Against All Odds (Take A Look At Me Now),1984
348,Van Halen,6,Jump,1984
349,Lionel Richie,7,Hello,1984
350,Ray Parker Jr.,9,Ghostbusters,1984
351,Culture Club,10,KARMA CHAMELEON,1984
352,John Waite,11,Missing You,1984
353,Lionel Richie,12,All Night Long (All Night),1984
354,Deniece Williams,13,Let's Hear It For The Boy,1984
355,Bruce Springsteen,14,Dancing In The Dark,1984
356,Cyndi Lauper,15,Girls Just Want To Have Fun,1984
357,Duran Duran,16,The Reflex,1984
358,Cyndi Lauper,17,Time After Time,1984
359,The Pointer Sisters,18,Jump (for My Love),1984
360,The Romantics,19,Talking In Your Sleep,1984
361,Laura Branigan,20,Self Control,1984
362,Prince And The Revolution,21,Let's Go Crazy,1984
363,Thompson Twins,23,Hold Me Now,1984
364,Kool & The Gang,24,Joanna,1984
365,Stevie Wonder,25,I Just Called To Say I Love You,1984
366,Rockwell,26,Somebody's Watching Me,1984
367,Matthew Wilder,27,Break My Stride,1984
368,Nena,28,99 Luftballons,1984
369,Dan Hartman,29,I Can Dream About You,1984
370,Sheila E.,30,The Glamorous Life,1984
371,Steve Perry,31,Oh Sherrie,1984
372,Lionel Richie,32,Stuck On You,1984
373,Elton John,33,I Guess That's Why They Call It The Blues,1984
374,Cyndi Lauper,34,She Bop,1984
375,Madonna,35,Borderline,1984
376,Corey Hart,36,Sunglasses At Night,1984
377,Billy Idol,37,Eyes Without A Face,1984
378,Eurythmics,38,Here Comes The Rain Again,1984
379,Billy Joel,39,Uptown Girl,1984
380,Night Ranger,40,Sister Christian,1984
381,The Cars,41,Drive,1984
382,Olivia Newton-John,42,Twist of Fate,1984
383,Duran Duran,43,UNION OF THE SNAKE,1984
384,Chicago,45,Hard Habit To Break,1984
385,Scandal Featuring Patty Smyth,46,The Warrior,1984
386,Peabo Bryson,47,If Ever You're In My Arms Again,1984
387,The Pointer Sisters,48,Automatic,1984
388,Shannon,49,LET THE MUSIC PLAY,1984
389,Julio Iglesias & Willie Nelson,50,To All The Girls I've Loved Before,1984
390,Genesis,52,That's All,1984
391,Lionel Richie,53,Running With The Night,1984
392,Elton John,54,Sad Songs (Say So Much),1984
393,Huey Lewis & The News,55,I Want A New Drug,1984
394,Pat Benatar,57,Love Is A Battlefield,1984
395,Rod Stewart,58,Infatuation,1984
396,ZZ Top,60,Legs,1984
397,Rick Springfield,62,Love Somebody,1984
398,Culture Club,63,MISS ME BLIND,1984
399,Huey Lewis & The News,64,If This Is It,1984
400,The Cars,65,You Might Think,1984
401,Madonna,66,Lucky Star,1984
402,Bruce Springsteen,67,Cover Me,1984
403,Quiet Riot,68,Cum On Feel The Noize,1984
404,Irene Cara,69,Breakdance,1984
405,Tracey Ullman,71,They Don't Know,1984
406,Billy Joel,72,An Innocent Man,1984
407,Bananarama,73,Cruel Summer,1984
408,Wang Chung,74,Dance Hall Days,1984
409,The Pointer Sisters,76,I'm So Excited,1984
410,Ray Parker Jr.,77,I Still Can't Get Over Loving You,1984
411,Madonna,79,Holiday,1984
412,John Lennon,81,Nobody Told Me,1984
